reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,app
ced5fd3e-9a06-4f02-a845-32197038eba4,JITENDRAKUMAR GAJERA,https://play-lh.googleusercontent.com/a/ACg8ocJwS8vhHHKk83B1nu5ZntnIFzw1WjAWtvNFfDunOAzpa6Q_=mo,Listing to pi network,1,0,,2025-03-15 03:41:56,,,,com.binance.dev
b43050f2-d9a0-4f3e-a45e-6fdd4c21a1f6,Ashutosh Sharma,https://play-lh.googleusercontent.com/a-/ALV-UjVEfnQ5DwnEk2UYZNGhlkwJolHqxyTEJ3-Qq6aw4dcdIkgZZoT2,Binance is acting like a mafia who does not want its users to make money pathetic platform,1,0,2.96.2,2025-03-15 03:41:10,,,2.96.2,com.binance.dev
60d87abd-1206-4f57-aed6-80c1f4a3ce4c,ch. faysal waince,https://play-lh.googleusercontent.com/a-/ALV-UjUiu7DmHk9KUPpHabG2NVoG0-YzjOFJ1oTehrQtsnMDlPpCbZI,List Pi coin because it's a community coin with eco system,1,0,2.97.1,2025-03-15 03:29:43,,,2.97.1,com.binance.dev
435ea358-b206-4614-a984-8ddb85048a15,Nazir Abdullahi,https://play-lh.googleusercontent.com/a-/ALV-UjXBkZA07FXa6JwdYwM_9PFUx9INzfJROcdoUyD057rAxO4bwEb7,I hate this app so much. What did Pi Network do to you that you cannot list it? The most Terrible and Fraustrating Exchange in the world ❌️.,1,0,1.41.2,2025-03-15 03:25:10,,,1.41.2,com.binance.dev
8d5ccf98-6bf1-4ec0-bdf9-d7693c18aca8,Karel Heinrich,https://play-lh.googleusercontent.com/a-/ALV-UjWvhsF3bJQLxn0ba9OUIH6KOrudP9e0dpw5TIY34ZeoLLNP1xQM,High fees to transact to other exchanges.,1,0,2.96.2,2025-03-15 03:16:00,"Hi Karel, withdrawals rates are determined by the blockchain network and can fluctuate without notice due to factors such as network congestion. Please check the most recent data listed on each withdrawal page. www.binance.com/en/fee/cryptoFee | -MK
",2025-03-15 03:59:05,2.96.2,com.binance.dev
6b295a44-90a9-455b-910f-707fdfdbe7f5,Imran Shaik,https://play-lh.googleusercontent.com/a-/ALV-UjV7DH64FrHZW85pvmxtnNRCpuMojGPVNZ9jhQ0B8hgP1jGkmKG4,List Pi Coin,1,0,,2025-03-15 02:45:06,,,,com.binance.dev
db967c8a-af1a-45d5-bd6d-e8058e5ca738,Saidu Musa,https://play-lh.googleusercontent.com/a/ACg8ocLLjRFyJioomRWzM-H2bPGlcoFtYYpuqMKBDd7eWF1AmvjeDw=mo,Is so Useless without Listening Pi network,1,0,,2025-03-15 02:41:20,,,,com.binance.dev
f6c60199-01c2-4c72-a08c-fa1db954fec3,Anand kumar,https://play-lh.googleusercontent.com/a-/ALV-UjV1X6HiVdap7cFsJBQH2g2Ind_g53-dl02T2RVlMi44EG8Ztb4,For not listing pi .I need on your exchange.,1,0,2.97.1,2025-03-15 02:25:39,,,2.97.1,com.binance.dev
b4fa191f-39e2-4365-ba9b-483561759db8,rollygon bagangers,https://play-lh.googleusercontent.com/a-/ALV-UjUUxwV0cTG-JbLhQcvJoHNi7dGAJyj5eSGXeW-rEAqXTZobrJU,I'll give 5 star if they put Pi Network on their list,1,0,2.97.1,2025-03-15 00:58:55,,,2.97.1,com.binance.dev
47e255de-711a-42a7-bb58-a003fe479396,Mohsin khan,https://play-lh.googleusercontent.com/a-/ALV-UjVD5NaZf-ZQ9KEik0VGv2jPejyqRnkb6O9E89fwhONOjZBUInU,For not listing Pi.,1,0,2.97.1,2025-03-15 00:23:07,,,2.97.1,com.binance.dev
f55dfb70-e845-410f-b078-02b964a78bc9,Nicholas Wamae,https://play-lh.googleusercontent.com/a-/ALV-UjVtdXdmM7VoNB87DUHXhwwCL3YDe_HhVFVr39oefzQ8INoiv79K,"Not satisfied when it comes to coin listing,they ignore important ones",1,0,2.96.2,2025-03-14 23:44:36,,,2.96.2,com.binance.dev
2ece5310-ba1f-403b-a6d1-d6df1b41d669,Mr Arro,https://play-lh.googleusercontent.com/a-/ALV-UjV_Z3Q09doyvpkvnQC6IqYxt2phTjzUkMXHUieGU9cH4datWPw,"Today uninstall my Binance app, and i am shifting in bitget, for trade on pi",1,0,2.96.2,2025-03-14 23:09:36,,,2.96.2,com.binance.dev
8a837a74-cca8-4c95-a1fc-206e582f5618,zohaib Zafar,https://play-lh.googleusercontent.com/a-/ALV-UjWEMEAcuzSWOzr5fUK8wSf-5WsVlwDN4n2sZ3Ys3LxLPbtMhPqp,After voting you should listing PI immediately,1,0,2.95.3,2025-03-14 22:58:21,,,2.95.3,com.binance.dev
2199dd48-411b-4500-98d4-f8058cabf47f,Umer Tariq,https://play-lh.googleusercontent.com/a/ACg8ocJMxVwPBfDVbwz-cfmV6AKgdkBdJipKU6Y4xBx6lZy3crc2PX0=mo,"No Pi , Bye Bye !",1,0,2.97.1,2025-03-14 22:45:06,,,2.97.1,com.binance.dev
25fcd25b-cd46-460a-a277-c246eb343ed8,POWER STAR,https://play-lh.googleusercontent.com/a/ACg8ocIxfAHkj5ZHS8hYdTb3ejTr_udLajU_ruUVwf_6lEHPrYCgiw=mo,"Trading is not a easy task, 80% Emotions 20% TA and mind behaviour",1,0,2.90.7,2025-03-14 22:38:42,"Hello there, we are here to help. Could you tell us more about your experience? Did you mean spot trading, or have you used any of our other trading products? Which feature are you finding difficult to use? You may contact our customer support at https://binance.com/en/chat for help and edit your review after contacting us, thank you. - HN
",2025-03-15 00:45:49,2.90.7,com.binance.dev
d3d0a7ea-d3e5-47fb-88cc-f0a206774644,Omprakash Mahawar,https://play-lh.googleusercontent.com/a/ACg8ocIgwRZ0Dv3wqqrVFJzNTpQqp0nPdBVe1DoBtLS2KBj8wcFkkA=mo,Bad experience,1,0,2.96.2,2025-03-14 22:08:34,"Hello Omprakash, we are here to help. Could you tell us more about your experience? Do you have any difficulties or require assistance? You may always contact our customer support at https://binance.com/en/chat. Please remember to edit your review after contacting us, thank you. - HN
",2025-03-15 00:46:44,2.96.2,com.binance.dev
8fb74807-ced9-4088-b457-4aec2390f6d3,aniket dubey,https://play-lh.googleusercontent.com/a/ACg8ocJNPgC2GUGHFlB9Fp7C5uweEnQ2MnVBJ0VsiCCF_mCmjzlgAF0=mo,Binance is doing injustice to PI users by not listening genuine coin like PI.,1,0,2.97.1,2025-03-14 21:42:11,,,2.97.1,com.binance.dev
f5104d34-300c-4ba5-904b-ca2e0041aa16,Minh Tran,https://play-lh.googleusercontent.com/a/ACg8ocK4ch4EOgW2SSc5C1K74kGsfhnygeUyDSIUktuo14O25TAG2g=mo,trò hề,1,0,,2025-03-14 21:05:08,,,,com.binance.dev
c8598513-9cad-478f-8049-8a85f0e81764,Golbar Ali,https://play-lh.googleusercontent.com/a-/ALV-UjWAMvKnPAK7PEKVz9zEQ4rmsw6eJYIxAqBv3K-xm8Tb5ubmW6md,Very bad Exchange,1,0,2.97.1,2025-03-14 20:40:51,,,2.97.1,com.binance.dev
83756c19-6b75-4908-b4c0-fe51d218d433,Dave Gabor,https://play-lh.googleusercontent.com/a/ACg8ocJkOsm_tQnFlKfWroLQrVixfsbQv56bVJBP9fFJ1R6GcNhTCQ=mo,they can't pass KYC because they don't have a physical address and they barely offer services anywhere in the world,1,0,2.96.2,2025-03-14 17:56:48,"Hi Dave, We'd like to learn about the experiences that led to this review. It will be resolve once binance.com/en/chat Click from down GET SUPPORT Write “verification"" Click Unresolved 👎 Click Not relevant and finally you will see transfer to the "" customer support "" Do not forget to reevaluate 🌟 us after your question has been resolved 🙂'Gi",2025-03-14 21:14:37,2.96.2,com.binance.dev
56c87bd2-ffdf-4ceb-b41f-ae6a56378777,Muhammad Usman Riaz,https://play-lh.googleusercontent.com/a-/ALV-UjWbWBSf4o2-Qk_I9UvBRoTt3i6Fm0u3UiXRzTg4DxjwnF7BsWOS,For not listing pi token and insulting those who believe in it and deserve it to see there in the list among major crypto tokens,1,0,2.96.2,2025-03-14 17:55:57,,,2.96.2,com.binance.dev
67a5612b-91d8-42c1-9d46-cdf23592f95d,Hafiz Raja Sohaib Bin Masood Sabir,https://play-lh.googleusercontent.com/a-/ALV-UjWJoPQIK3dB1S-1iEYCa_D6YwdPOyWNEg_yphw-plXnxbnKgGA,Don't ever touch this app if you don't want to lose your all savings this app is develop to take from poor and feed rich. That's it.,1,0,2.93.2,2025-03-14 17:41:17,Hi Hafiz! Binance encourages our users to trade responsibly. Feel free to contact our support team if you have any inquiries with Binance.com via ➡️ https://www.binance.com/en/chat -SA,2024-03-25 03:55:12,2.93.2,com.binance.dev
16afda16-3fed-4d42-95a0-cb2b7a1e140c,Ganpati Prasad,https://play-lh.googleusercontent.com/a-/ALV-UjW_kXPvH0tg4oN8MhSbaFBU-xpSiCPrLM7SGfCFdGNgscdg-JhfdA,Worse application,1,0,,2025-03-14 16:33:56,"Hi Ganpati. Please describe your issue in detail here: http://binance.com/en/chat
And we will assist you as soon as possible! -SA",2025-03-14 17:51:17,,com.binance.dev
24df2665-6da4-4dea-a969-ebeb8721e748,shantanu singh,https://play-lh.googleusercontent.com/a-/ALV-UjVhEamrlxKFlD6whpkF-_te9sYRNpKY7-BkNQ0j69kPTIboWaI,Trash app,1,0,2.96.2,2025-03-14 16:30:04,,,2.96.2,com.binance.dev
3f296a18-c66d-45ad-b799-590fb673bf07,Fiza Gul,https://play-lh.googleusercontent.com/a-/ALV-UjWJWjD_g6SV1vP7fPi4BVf8_8lvBM34IaYK3ZXte_S759j1UsM,"I'm having trouble opening binance link , could you please help!",1,0,2.96.2,2025-03-14 16:11:32,"Try different network and devices for isolate issue. For further assistance from chat link scroll down to find ""GET SUPPORT"" button on the bottom, Type “2fa reset” and choose any option from list Click ""Unresolved"" -> ""Not relevant"" -> ""Yes transfer to the Customer Service"" After resolution don't forget to reevaluate 'GI🔶 binance.com/en/chat",2025-03-14 17:18:54,2.96.2,com.binance.dev
