reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,app,local_llm_topic,gemini_llm_topic
0b4f289d-bea8-40e0-9a34-d0b6c186547e,Michael Alberty,https://play-lh.googleusercontent.com/a/ACg8ocLoQ8E3QiEAIJ0U6cU_btpbOEbLAuoLdEqmoigl6RrKK9z7ugc=mo,Well I put btc in not much just because I was gonna try it out didn't like it sent my btc out again. I was dumb and did look before hand but they charge me $40 of the $200 i sent out. Which is 0.0004 in btc that's crazy. Maybe I don't k ow the standard but that seems really high.,1,0,3.201.0,2024-12-14 03:08:57,,,3.201.0,co.mona.android,Blockchain fee.,High fees
a7a59d4a-792c-4dde-b883-625a353d885a,Alex Surmak,https://play-lh.googleusercontent.com/a/ACg8ocJTDF4qXgunVIB5eNIolbHit9HcQd-YNI4cMuoyd9rpO9VGhA=mo,Great 👍,5,0,3.201.0,2024-12-14 03:03:06,,,3.201.0,co.mona.android,I would assign it to Generic feedback.,Generic feedback
7c83652a-fe8f-4bf6-af66-0d576e028f85,Robert Barr,https://play-lh.googleusercontent.com/a-/ALV-UjUPNZGL-14h42O3HWBPbOHN1nh6onfvZtJqlOAwOWn3FXapRU0,Definitely going to delete this app. Can't log in,1,0,3.201.0,2024-12-14 01:52:00,"Hello, Robert. We will be happy to look into the login difficulties you have experienced. We invite you to contact us via live chat, where we will advise on the matter. Thank you!",2024-12-14 02:29:27,3.201.0,co.mona.android,Product failure,Account login issue
3a57ecbd-1691-48d2-9bb1-bcf0b4ba76e8,Claudio Di Blasio,https://play-lh.googleusercontent.com/a-/ALV-UjVH4QPPnOZXNiqOX0bunprfXvevZlDcIyhqxCVTHu0RuQ_fXXs,"a good way to invest, made easy.",5,0,3.201.0,2024-12-14 01:48:11,,,3.201.0,co.mona.android,Cryptocurrency investment. Generic feedback.,Ease of use
2f48963b-b28a-49a6-b8c6-55e6028d47aa,bruce neal,https://play-lh.googleusercontent.com/a/ACg8ocLaKSZcW7uaK12zDnk89gbJNaNYoKw7VSoIgCrTatasUg4Ozg=mo,Awesome,5,0,3.201.0,2024-12-14 01:40:47,,,3.201.0,co.mona.android,Crypto Industry Community,Generic feedback
3755903e-d1f8-4ab7-9298-6dde27875750,Suhail Shagoo,https://play-lh.googleusercontent.com/a/ACg8ocJGsqGgwF-GvQ9MkyExBZY_-nj02gcMD78XR9RDgIo3b3pZkg=mo,Please give option of adhaar card for kyc identification for india,5,0,3.201.0,2024-12-14 01:00:53,,,3.201.0,co.mona.android,"I would categorize the review as Generic Feedback.

My best guess is Crypto Industry.",KYC/Identification process
1810bb05-8ba7-41f3-8ca6-cca9caa8640b,Donnell Doyya,https://play-lh.googleusercontent.com/a-/ALV-UjXAlJdCrSa344zJ6FOCeZhvfH5ri-p9OKy9pQOr1Jxa5WzayGKZXg,perfect,5,0,3.201.0,2024-12-14 00:35:48,,,3.201.0,co.mona.android,"Crypto exchange user reviews would be assigned to ""Financial Services"" category.

My best guess is Financial Services.",Generic feedback
10d5dd22-a92a-48da-8f33-fdcb1b6dad33,George Burnett,https://play-lh.googleusercontent.com/a/ACg8ocL_9-ubpHIb9tfZpCL9MujW7N_4gzleyDg45mEF7-HMkcE1-g=mo,Excellent.,5,0,3.201.0,2024-12-14 00:23:28,,,3.201.0,co.mona.android,Productiveness.,Generic feedback
13e46262-7b5b-4e28-8d4f-19544c2fabdc,Channing Parker,https://play-lh.googleusercontent.com/a/ACg8ocIKwptrh-r_6qZmsIEZ9WUI7CVknLb3EXurXp7kekai-zgSbg=mo,"I only wish I could deposit any amount. Some amounts seem to be too small to withdraw, deposit, or send.",5,0,3.201.0,2024-12-14 00:10:10,,,3.201.0,co.mona.android,Transaction limitations.,Transaction fee issues
ad341580-f5fc-476f-b505-2e0dc0ff15b4,Vaghji Varsani,https://play-lh.googleusercontent.com/a/ACg8ocInvV67936i-PiIYrrcrYeIvaT96CL89EPJqjy0T4S-9kYCQQ=mo,"Well organised and easy to navigate around the site, but more insensitives / loyalty rewards for loyal customers should be offered, as was offered in the earlier days of Crypto. com when you signed up, but then taken away due to regulations in the country you live in.",4,0,3.201.0,2024-12-13 23:56:24,,,3.201.0,co.mona.android,Generic feedback category,Platform usability and rewards
ba6d7c1f-fd76-46b2-b3c1-55da0841ab7b,Guillermo Ulloa,https://play-lh.googleusercontent.com/a-/ALV-UjWkvYmoe0l_x59OQmNARLJpsJDnJyYAimwM3FNVK3qFsy-EIymBHw,very trusted.,5,0,3.201.0,2024-12-13 23:00:11,,,3.201.0,co.mona.android,"I would categorize it as ""Trusted"" because it expresses a positive sentiment towards the Crypto industry and company.",Security and Trust
4795cc84-8c23-49e9-8925-77b3f4763ae6,Cheryl Anderson,https://play-lh.googleusercontent.com/a/ACg8ocKVnYSdUwCUekTDcrxaivRKSSZeZI3viqjC9JvfOzB0B6_JA4ZP=mo,"Customer support is top notch, simple, easy to use interface. Nice work.",5,0,3.201.0,2024-12-13 22:11:37,,,3.201.0,co.mona.android,Customer feedback and ratings,Positive user experience
b48a3c1e-ca20-42c6-a00c-e67cc8a91422,Oscar Parks,https://play-lh.googleusercontent.com/a-/ALV-UjU-HgRTAxELxKYUaqN9OzwyoR_ENOk1VP0W9sd_Gzh6NF15uQSg,balances are slow to update but other than that good app,4,0,3.201.0,2024-12-13 22:08:17,,,3.201.0,co.mona.android,"I would categorize it as ""Generic feedback""",Platform performance issues
9eb3788c-5752-437f-b7b8-10c985e786eb,Muhammad Chaudhary,https://play-lh.googleusercontent.com/a-/ALV-UjXxo6q_3Vl_TZnZOYQp9HtPHc_P16lo6WEHIN21ApruvBVKvG4g,"I can't withdraw money. Add $30 trade it saw high fees, Add $75 to meet withdraw requirement. Try to withdraw all 103.45 plus 1.99 fee, No money received for days, Contact bank and live chat show all pics found cryto never send the money, and cancel it. Try again app didn’t allow says no etransfer email. Contact live chat they can't help was forced to deposit more did it and Try withdrawal again still no money received.",1,1,3.201.0,2024-12-13 21:54:57,Hello Muhammad! Please send us a message via Live chat. We will gladly take an additional look into the difficulty you have encountered when initiating withdrawals and assist you further. Thank you in advance!,2024-12-09 17:41:50,3.201.0,co.mona.android,Crypto Industry Category: Generic feedback,Withdrawal issues
